Date,Adj Close,Close,High,Low,Open,Volume,ticker,daily_return,ma_5,ma_10,momentum_14,volume_zscore_20,label
2015-04-17,59.843231201171875,64.5199966430664,65.5,64.3499984741211,65.0999984741211,11212900,V,-0.017212807678091524,60.65759506225586,60.96274337768555,-0.9460830688476562,1.1748580141992733,BUY
2015-04-20,60.028743743896484,64.72000122070312,65.20999908447266,64.58000183105469,65.0,5948900,V,0.003099975368993313,60.492498779296874,60.9182243347168,-0.871856689453125,-0.5168507477158313,BUY
2015-04-21,60.61307907104492,65.3499984741211,65.83000183105469,64.98999786376953,65.02999877929688,9619700,V,0.009734258801773699,60.45910873413086,60.87648658752441,-0.05565643310546875,0.9457806814809036,BUY
2015-04-22,63.08027648925781,68.01000213623047,69.9800033569336,65.79000091552734,65.81999969482422,20912400,V,0.04070404368207514,60.891334533691406,61.01654319763183,2.6248703002929688,3.296900286032497,HOLD
2015-04-23,62.811317443847656,67.72000122070312,68.22000122070312,67.5199966430664,68.19999694824219,7193400,V,-0.004263758188440381,61.27532958984375,61.13526992797851,2.25390625,-0.13635733262451102,HOLD
2015-04-24,62.58869171142578,67.4800033569336,68.18000030517578,67.30999755859375,68.12999725341797,6219900,V,-0.003544356996187825,61.82442169189453,61.2410083770752,2.114757537841797,-0.35431044586866905,SELL
2015-04-27,62.2362060546875,67.0999984741211,68.61000061035156,66.93000030517578,68.38999938964844,7122400,V,-0.005631778634445084,62.26591415405274,61.3792064666748,1.20574951171875,-0.12022073972393353,HOLD
2015-04-28,61.930137634277344,66.7699966430664,67.5,66.41000366210938,67.30999755859375,6297500,V,-0.004917851517832084,62.52932586669922,61.49421730041504,0.25042724609375,-0.28280019919230304,SELL
2015-04-29,62.45882034301758,67.33999633789062,68.45999908447266,66.77999877929688,66.86000061035156,9812400,V,0.008536759789915527,62.40503463745117,61.648184585571286,0.8347702026367188,0.6462436215099535,SELL
2015-04-30,61.2623405456543,66.05000305175781,67.5,65.41999816894531,67.18000030517578,11780600,V,-0.019156298354537138,62.0952392578125,61.68528442382812,-0.2689666748046875,1.0889371048546277,HOLD
2015-05-01,61.002620697021484,65.7699966430664,66.66000366210938,65.1500015258789,65.22000122070312,10142800,V,-0.004239469898138504,61.77802505493164,61.80122337341309,0.14839553833007812,0.5922357001020739,HOLD
2015-05-04,60.8264045715332,65.58000183105469,66.13999938964844,65.47000122070312,66.05000305175781,7426400,V,-0.002888664838900712,61.49606475830078,61.880989456176756,0.046375274658203125,-0.11389293908433289,HOLD
2015-05-05,61.17887496948242,65.95999908447266,66.38999938964844,65.5999984741211,65.7699966430664,8099800,V,0.00579469393977905,61.345812225341795,61.937569046020506,0.25972747802734375,0.045288681322481324,HOLD
2015-05-06,60.90987777709961,65.66999816894531,66.6500015258789,65.2300033569336,66.1500015258789,7084600,V,-0.004396896682343332,61.036023712158205,61.72052917480469,0.018535614013671875,-0.23074149770676683,BUY
2015-05-07,61.75392150878906,66.58000183105469,66.77999877929688,65.54000091552734,65.58000183105469,6660300,V,0.013857255382751621,61.13433990478516,61.61478958129883,1.9106903076171875,-0.3634182862188612,BUY
2015-05-08,64.4344482421875,69.47000122070312,70.16000366210938,67.01000213623047,67.13999938964844,18359000,V,0.043406583224304685,61.82070541381836,61.799365234375,4.405704498291016,2.248873933283945,SELL
2015-05-11,64.01705169677734,69.0199966430664,69.69999694824219,68.79000091552734,69.30000305175781,10998500,V,-0.0064778477475480045,62.45883483886719,61.97744979858398,3.403972625732422,0.4722433154367473,HOLD
2015-05-12,63.71095657348633,68.69000244140625,69.0,67.97000122070312,68.55000305175781,7438200,V,-0.004781462363197542,62.96525115966797,62.15553169250488,0.6306800842285156,-0.3954566170979167,BUY
2015-05-13,63.785308837890625,68.6500015258789,68.87999725341797,68.19000244140625,68.75,5129800,V,0.0011670247694137714,63.54033737182617,62.28818054199219,0.9739913940429688,-0.9431648126105195,BUY
2015-05-14,65.03962707519531,70.0,70.02999877929688,68.8499984741211,68.95999908447266,6491100,V,0.01966468862747872,64.19747848510742,62.66590919494629,2.4509353637695312,-0.664729779309874,HOLD
2015-05-15,64.6401138305664,69.56999969482422,70.69000244140625,69.30999755859375,70.0999984741211,7121000,V,-0.006142612782312096,64.23861160278321,63.029658508300784,2.4039077758789062,-0.4601973637545642,HOLD
2015-05-18,65.03962707519531,70.0,70.23999786376953,69.12999725341797,69.73999786376953,5553800,V,0.006180577677757482,64.4431266784668,63.450980758666994,3.1094894409179688,-0.8372283858543823,HOLD
2015-05-19,65.18828582763672,70.16000366210938,70.55999755859375,70.0,70.13999938964844,4351000,V,0.002285664280785804,64.73859252929688,63.85192184448242,2.7294654846191406,-1.0357488336146918,SELL
2015-05-20,64.8352279663086,69.77999877929688,70.31999969482422,69.4800033569336,70.25,4870100,V,-0.005415970934741887,64.94857635498047,64.24445686340331,3.572887420654297,-0.9619273712262048,HOLD
2015-05-21,64.45427703857422,69.37000274658203,69.87000274658203,69.27999877929688,69.55000305175781,6483800,V,-0.005875678079397484,64.83150634765624,64.51449241638184,3.4516563415527344,-0.43794272246146776,SELL
2015-05-22,64.68656158447266,69.62000274658203,69.8499984741211,69.30000305175781,69.30000305175781,4511700,V,0.0036038655085592897,64.8407958984375,64.53970375061036,3.860157012939453,-1.011039947335874,HOLD
2015-05-26,63.68309020996094,68.54000091552734,69.5,68.30999755859375,69.30999755859375,6228100,V,-0.015512826001754743,64.56948852539062,64.50630760192871,2.5042152404785156,-0.4650981344937459,BUY
2015-05-27,64.5657730102539,69.48999786376953,69.73999786376953,68.5,68.8499984741211,7064800,V,0.01386055226564542,64.44498596191406,64.59178924560547,3.655895233154297,-0.22074949460135515,SELL
2015-05-28,64.63080596923828,69.55999755859375,69.77999877929688,68.80000305175781,69.4800033569336,3893900,V,0.0010072358147721339,64.4041015625,64.67633895874023,2.8768844604492188,-1.0829058230800919,HOLD
2015-05-29,63.81318283081055,68.68000030517578,69.5999984741211,68.5199966430664,69.33000183105469,6678100,V,-0.012650672170433586,64.27588272094727,64.55369453430175,-0.6212654113769531,-0.1744220184895002,HOLD
2015-06-01,64.21269989013672,69.11000061035156,69.44999694824219,68.43000030517578,69.12999725341797,6309400,V,0.006260729234982998,64.18111038208008,64.51095314025879,0.195648193359375,-0.23569808735512848,HOLD
2015-06-02,64.1476821899414,69.04000091552734,69.45999908447266,68.01000213623047,68.7300033569336,4457400,V,-0.0010125364656299318,64.27402877807617,64.4217586517334,0.4367256164550781,-0.7741985398021501,SELL
2015-06-03,64.06405639648438,68.94999694824219,69.5,68.88999938964844,69.26000213623047,4906400,V,-0.0013036448177412563,64.17368545532227,64.30933570861816,0.27874755859375,-0.5774163913583147,HOLD
2015-06-04,63.37649154663086,68.20999908447266,69.1500015258789,68.02999877929688,68.62999725341797,6460000,V,-0.010732458862708683,63.92282257080078,64.1634620666504,-1.6631355285644531,-0.07549371475461553,HOLD
2015-06-05,63.52515411376953,68.37000274658203,68.69999694824219,68.0,68.29000091552734,4413100,V,0.002345705221458827,63.86521682739258,64.07054977416992,-1.114959716796875,-0.6794503215190677,HOLD
2015-06-08,62.8840446472168,67.68000030517578,68.29000091552734,67.62000274658203,68.19000244140625,4864300,V,-0.010092214265305821,63.59948577880859,63.89029808044434,-2.1555824279785156,-0.6481792377098787,BUY
2015-06-09,63.134918212890625,67.94999694824219,68.08999633789062,67.52999877929688,67.66999816894531,4439700,V,0.003989462940579669,63.396932983398436,63.83548088073731,-2.0533676147460938,-1.0239029607784782,BUY
2015-06-10,64.69583892822266,69.62999725341797,69.66999816894531,68.11000061035156,68.22000122070312,6807800,V,0.024723572303817942,63.52328948974609,63.84848747253418,-0.1393890380859375,1.1742127755582281,HOLD
2015-06-11,64.70514678955078,69.63999938964844,70.0199966430664,69.41999816894531,69.69999694824219,5238700,V,0.0001438710971575219,63.78902053833008,63.85592155456543,0.2508697509765625,-0.2983149797450365,SELL
2015-06-12,64.4171142578125,69.33000183105469,69.73999786376953,69.0199966430664,69.43000030517578,4900700,V,-0.004451462457462418,63.96741256713867,63.916314697265626,-0.26944732666015625,-0.5476294096983627,HOLD
2015-06-15,63.710933685302734,68.56999969482422,68.98999786376953,68.16999816894531,68.72000122070312,5995100,V,-0.010962623530192062,64.13279037475586,63.86613807678223,0.027843475341796875,0.5799063993560655,HOLD
2015-06-16,64.11981201171875,69.01000213623047,69.16999816894531,68.29000091552734,68.44999694824219,5937400,V,0.006417710473929805,64.32976913452148,63.863351058959964,-0.44596099853515625,0.49896752796285015,HOLD
2015-06-17,63.878204345703125,68.75,69.41000366210938,68.51000213623047,69.11000061035156,7818300,V,-0.003768065726260539,64.16624221801757,63.84476585388184,-0.7526016235351562,2.016613714757791,HOLD
2015-06-18,64.57508087158203,69.5,69.83999633789062,68.87999725341797,68.9000015258789,7596800,V,0.010909457036510917,64.14022903442383,63.96462478637695,0.7618980407714844,1.5874059146046684,HOLD
2015-06-19,63.82245635986328,68.69000244140625,69.33000183105469,68.4800033569336,69.2699966430664,8728800,V,-0.011655030106976771,64.02129745483398,63.994355010986325,-0.3902435302734375,2.149294610074214,BUY
2015-06-22,64.19409942626953,69.08999633789062,69.44000244140625,68.9000015258789,69.31999969482422,5511700,V,0.00582307682284644,64.11793060302735,64.1253604888916,0.046417236328125,-0.3086680427875996,HOLD
2015-06-23,64.50074005126953,69.41999816894531,69.58999633789062,69.08999633789062,69.0999984741211,3888700,V,0.004776772752333569,64.1941162109375,64.26194267272949,0.43668365478515625,-1.3899057275050068,SELL
2015-06-24,63.980403900146484,68.86000061035156,69.4000015258789,68.76000213623047,69.11000061035156,4670600,V,-0.008067134589610059,64.21455612182618,64.19039916992188,0.603912353515625,-0.7392849718735962,HOLD
2015-06-25,63.75743865966797,68.62000274658203,69.37999725341797,68.51000213623047,69.37999725341797,4705100,V,-0.0034848989204021574,64.05102767944337,64.09562835693359,0.2322845458984375,-0.7689540075994858,SELL
2015-06-26,63.878204345703125,68.75,69.20999908447266,68.41000366210938,68.69999694824219,7025600,V,0.001894142684742972,64.06217727661132,64.04173736572265,0.9941596984863281,0.9707481932430098,SELL
2015-06-29,61.9920654296875,66.72000122070312,68.48999786376953,66.69000244140625,67.98999786376953,9706700,V,-0.029527112343484374,63.62177047729492,63.86985054016113,-1.142852783203125,2.379784963232409,BUY
2015-06-30,62.391597747802734,67.1500015258789,67.4800033569336,66.76000213623047,67.33999633789062,6811000,V,0.006444894444892935,63.19994201660156,63.69702911376953,-2.304241180419922,0.502205576072847,BUY
2015-07-01,63.041996002197266,67.8499984741211,68.30000305175781,67.52999877929688,67.94000244140625,6260800,V,0.01042445261657754,63.01226043701172,63.61340827941895,-1.6631507873535156,0.11074626330152958,HOLD
2015-07-02,63.404335021972656,68.23999786376953,68.31999969482422,67.62000274658203,68.1500015258789,5053000,V,0.005747581655929146,62.94163970947265,63.49633369445801,-1.0127792358398438,-0.6170487875408702,HOLD
2015-07-06,63.292869567871094,68.12000274658203,68.12000274658203,67.36000061035156,67.55000305175781,5270600,V,-0.001758009985641129,62.82457275390625,63.44337501525879,-0.4180641174316406,-0.5169480784175863,SELL
2015-07-07,62.9676399230957,67.7699966430664,68.19999694824219,66.52999877929688,68.11000061035156,6500700,V,-0.005138487905444689,63.01968765258789,63.3207290649414,-1.1521720886230469,0.23721816615773864,SELL
2015-07-08,62.00136184692383,66.7300033569336,67.31999969482422,66.6500015258789,67.01000213623047,5973500,V,-0.015345629554355589,62.94164047241211,63.070791244506836,-1.8768424987792969,-0.16969828565397443,BUY
2015-07-09,62.2986946105957,67.05000305175781,67.94000244140625,67.0199966430664,67.6500015258789,4837800,V,0.004795584400322683,62.7929801940918,62.90262031555176,-2.276386260986328,-0.8687837870585265,BUY
2015-07-10,63.571590423583984,68.41999816894531,68.54000091552734,67.91000366210938,67.9800033569336,5110200,V,0.02043214261461901,62.82643127441406,62.88403549194336,-0.2508659362792969,-0.6781124048216662,BUY
2015-07-13,64.59365844726562,69.5199966430664,69.5999984741211,68.83000183105469,69.05000305175781,6832300,V,0.016077433596854984,63.08658905029297,62.95558090209961,0.39955902099609375,0.4246150512311495,HOLD
2015-07-14,65.13253021240234,70.0999984741211,70.30000305175781,69.47000122070312,69.97000122070312,5635400,V,0.008342487143326194,63.5195671081543,63.26962738037109,0.6317901611328125,-0.3807396731373968,HOLD
2015-07-15,65.0582046508789,70.0199966430664,70.27999877929688,69.69000244140625,70.12999725341797,4506200,V,-0.0011411434698000988,64.13093566894531,63.53628807067871,1.0778007507324219,-1.067498198508902,BUY
2015-07-16,65.56924438476562,70.56999969482422,70.58999633789062,69.97000122070312,70.43000030517578,6512500,V,0.00785511584017895,64.7850456237793,63.78901290893555,1.8118057250976562,0.3111697259855183,BUY
2015-07-17,65.8572769165039,70.87999725341797,70.95999908447266,70.27999877929688,70.4000015258789,6287600,V,0.004392799313777118,65.24218292236328,64.03430709838867,1.9790725708007812,0.2085205211453661,BUY
2015-07-20,67.54830169677734,72.69999694824219,73.0,71.2300033569336,71.29000091552734,10198500,V,0.025677113592433853,65.83311157226562,64.4598503112793,5.556236267089844,2.5891980976897067,SELL
2015-07-21,66.91648864746094,72.0199966430664,72.87999725341797,71.76000213623047,72.83999633789062,10919600,V,-0.009353500139094528,66.18990325927734,64.85473518371582,4.524890899658203,2.384524197599379,HOLD
2015-07-22,66.87004089355469,71.97000122070312,72.1500015258789,71.62000274658203,71.94000244140625,6303200,V,-0.0006941152299689834,66.5522705078125,65.3416030883789,3.828044891357422,-0.08331288690008053,BUY
2015-07-23,66.66563415527344,71.75,72.25,71.19999694824219,72.19999694824219,10755700,V,-0.0030567760322837145,66.77154846191407,65.77829704284667,3.2612991333007812,1.979595321039986,BUY
2015-07-24,69.49950408935547,74.80000305175781,76.91999816894531,74.4000015258789,76.77999877929688,21196100,V,0.04250870737210066,67.49999389648437,66.37108840942383,6.206634521484375,3.6243814452449,HOLD
2015-07-27,68.62612915039062,73.86000061035156,74.70999908447266,73.58000183105469,74.27999877929688,10293800,V,-0.01256663555241988,67.71555938720704,66.77433547973632,5.658489227294922,0.6697582320457396,BUY
2015-07-28,69.44373321533203,74.73999786376953,75.18000030517578,73.8499984741211,74.30000305175781,10054300,V,0.01191388870483534,68.22100830078125,67.2054557800293,7.442371368408203,0.600557405518261,BUY
2015-07-29,70.62374114990234,76.01000213623047,76.43000030517578,74.66999816894531,74.94999694824219,13746900,V,0.01699228828771826,68.97174835205078,67.76200942993164,8.32504653930664,1.3985452636936724,HOLD
2015-07-30,70.96754455566406,76.37999725341797,76.76000213623047,75.23999786376953,75.88999938964844,6507000,V,0.0048680995960264095,69.8321304321289,68.30183944702148,7.395954132080078,-0.40210194741496086,HOLD
2015-07-31,70.001220703125,75.33999633789062,76.51000213623047,75.31999969482422,76.44999694824219,8526300,V,-0.013616419429322568,69.9324737548828,68.71623382568359,5.407562255859375,0.05757582502875417,HOLD
2015-08-03,70.4007797241211,75.7699966430664,76.04000091552734,75.01000213623047,75.58999633789062,5810800,V,0.005707886476589152,70.2874038696289,69.00148162841796,5.26824951171875,-0.6385317401873822,SELL
2015-08-04,69.93616485595703,75.2699966430664,76.08000183105469,75.02999877929688,75.52999877929688,6957900,V,-0.006599569919321091,70.38589019775391,69.30344924926757,4.877960205078125,-0.35393994579322424,SELL
2015-08-05,69.66675567626953,74.9800033569336,76.16999816894531,74.91999816894531,76.05000305175781,6976400,V,-0.003852215520287472,70.19449310302734,69.58312072753907,4.097511291503906,-0.3643694022696512,SELL
2015-08-06,68.36593627929688,73.58000183105469,75.41999816894531,73.55000305175781,75.30000305175781,7767800,V,-0.018672024904064166,69.6741714477539,69.7531509399414,2.5086593627929688,-0.2036470391556821,BUY
2015-08-07,68.95130920410156,74.20999908447266,74.30999755859375,73.31999969482422,73.68000030517578,6484600,V,0.008562347810366466,69.46418914794921,69.69833145141601,1.4030075073242188,-0.5657935893803988,SELL
2015-08-10,69.10926055908203,74.37999725341797,75.18000030517578,73.8499984741211,74.88999938964844,6183500,V,0.002290766583023407,69.20588531494141,69.74664459228515,2.1927719116210938,-0.6340031862147658,HOLD
2015-08-11,68.1615219116211,73.36000061035156,74.2699966430664,73.22000122070312,73.80999755859375,6476000,V,-0.013713627374882797,68.85095672607422,69.61842346191406,1.2914810180664062,-0.5722997381535768,HOLD
2015-08-12,68.44075012207031,73.54000091552734,73.83000183105469,72.38999938964844,72.87000274658203,7625100,V,0.004096566546904157,68.60575561523437,69.40012435913086,1.775115966796875,-0.3175082310144683,HOLD
2015-08-13,68.80369567871094,73.93000030517578,74.43000030517578,73.37999725341797,73.43000030517578,5992000,V,0.005303062225257227,68.69330749511718,69.18373947143554,-0.6958084106445312,-0.7557145189032869,HOLD
2015-08-14,69.07359313964844,74.22000122070312,74.4000015258789,73.44999694824219,73.8499984741211,3861500,V,0.0039227174975866586,68.71776428222657,69.09097671508789,0.4474639892578125,-1.2626567210180473,HOLD
